ar-eg:	Arabic
bg-bg:	Bulgarian
ca-es:	Catalan
zh-cn:	Chinese
hr-hr:	Croatian
cs-cz:	Czech
da-dk:	Danish
nl-nl:	Dutch
en-us:	English
fi-fi:	Finnish
fr-fr:	French
de-de:	German
el-gr:	Greek
he-il:	Hebrew
hi-in:	Hindi
hu-hu:	Hungarian
id-id:	Indonesian
it-it:	Italian
ja-jp:	Japanese
ko-kr:	Korean
ms-my:	Malay
nb-no:	Norwegian
pl-pl:	Polish
pt-pt:	Portuguese
ro-ro:	Romanian
ru-ru:	Russian
sk-sk:	Slovak
sl-si:	Slovenian
es-es:	Spanish
sv-se:	Swedish
ta-in:	Tamil
th-th:	Thai
tr-tr:	Turkish
vi-vn:	Vietnamese
